Date,Cash,Portfolio_Value,Total_Equity
2016-01-04,37.98,9962.02,10000.0
2016-01-05,37.98,10213.45,10251.42
2016-01-06,37.98,10171.92,10209.89
2016-01-07,37.98,9989.6,10027.57
2016-01-08,37.98,9982.63,10020.6
2016-01-11,37.98,9782.09,9820.07
2016-01-12,37.98,9809.54,9847.52
2016-01-13,37.98,9781.95,9819.93
2016-01-14,37.98,9775.56,9813.54
2016-01-15,37.98,9511.3,9549.28
2016-01-18,37.98,9381.99,9419.97
2016-01-19,37.98,9378.28,9416.26
2016-01-20,37.98,9208.25,9246.22
2016-01-21,37.98,9282.05,9320.03
2016-01-22,37.98,9377.53,9415.51
2016-01-26,37.98,9316.01,9353.99
2016-01-27,37.98,9494.72,9532.69
2016-01-28,37.98,9594.25,9632.23
2016-01-29,37.98,10047.13,10085.11
2016-02-01,37.98,10094.48,10132.46
2016-02-02,37.98,9767.14,9805.11
2016-02-03,37.98,9988.11,10026.09
2016-02-04,37.98,10069.01,10106.99
2016-02-05,37.98,9924.69,9962.66
2016-02-10,37.98,9885.2,9923.17
2016-02-11,37.98,9693.55,9731.52
2016-02-12,37.98,9714.94,9752.91
2016-02-15,37.98,9658.04,9696.02
2016-02-16,37.98,9849.87,9887.85
2016-02-17,37.98,9886.65,9924.63
2016-02-18,37.98,9916.78,9954.76
2016-02-19,37.98,9906.22,9944.2
2016-02-22,37.98,10271.56,10309.54
2016-02-23,37.98,10138.16,10176.13
2016-02-24,33.7,9939.24,9972.93
2016-02-25,33.7,9969.62,10003.31
2016-02-26,33.7,9912.28,9945.97
2016-02-29,33.7,10228.7,10262.4
2016-03-01,33.7,10490.36,10524.06
2016-03-02,33.7,10660.73,10694.43
2016-03-03,24.69,10932.83,10957.52
2016-03-04,24.69,11227.9,11252.59
2016-03-07,24.69,11270.4,11295.08
2016-03-08,24.69,11497.99,11522.68
2016-03-09,24.69,11422.44,11447.13
2016-03-10,24.69,11604.98,11629.67
2016-03-11,24.69,11730.84,11755.53
2016-03-14,18.64,11586.24,11604.89
2016-03-15,18.64,11061.8,11080.44
2016-03-16,18.64,11181.26,11199.9
2016-03-17,18.64,11771.76,11790.4
2016-03-18,18.64,11728.49,11747.13
2016-03-21,18.64,11801.89,11820.54
2016-03-22,18.64,11758.2,11776.84
2016-03-23,18.64,11513.84,11532.48
2016-03-24,18.64,11405.99,11424.63
2016-03-28,18.64,11638.36,11657.0
2016-03-29,18.64,11667.5,11686.15
2016-03-30,18.64,11732.86,11751.5
2016-03-31,18.64,11491.38,11510.03
2016-04-01,18.64,11618.45,11637.09
2016-04-04,18.64,11223.3,11241.94
2016-04-05,18.64,11194.08,11212.72
2016-04-06,18.64,11106.96,11125.6
2016-04-07,18.64,11260.11,11278.75
2016-04-08,18.64,11663.96,11682.6
2016-04-11,9.24,11522.14,11531.38
2016-04-12,9.24,11785.86,11795.1
2016-04-13,9.24,11895.52,11904.76
2016-04-14,9.24,11797.58,11806.82
2016-04-15,9.24,12048.77,12058.01
2016-04-18,9.24,11957.71,11966.95
2016-04-19,9.24,12140.09,12149.33
2016-04-20,9.24,12030.7,12039.94
2016-04-22,9.24,12044.11,12053.35
2016-04-25,9.24,11763.85,11773.09
2016-04-26,9.24,12063.43,12072.68
2016-04-27,1.01,12356.57,12357.58
2016-04-28,1.01,12378.89,12379.91
2016-04-29,1.01,12282.91,12283.92
2016-05-02,1.01,12249.88,12250.9
2016-05-03,1.01,12017.62,12018.64
2016-05-04,1.01,12075.27,12076.29
2016-05-05,1.01,11924.41,11925.43
2016-05-06,1.01,11993.65,11994.66
2016-05-09,1.01,11874.81,11875.82
2016-05-10,1.01,12239.54,12240.55
2016-05-11,1.01,12210.93,12211.94
2016-05-12,1.01,12389.39,12390.41
2016-05-13,1.01,12130.45,12131.46
2016-05-16,1.01,12140.53,12141.54
2016-05-17,1.01,11951.93,11952.95
2016-05-18,1.01,11879.71,11880.73
2016-05-19,1.01,11705.62,11706.63
2016-05-20,1.01,11725.0,11726.02
2016-05-23,1.01,11617.05,11618.06
