Date,Cash,Portfolio_Value,Total_Equity
2016-01-04,12.7,9987.3,10000.0
2016-01-05,12.7,10006.74,10019.44
2016-01-06,12.7,9841.5,9854.2
2016-01-07,12.7,9591.21,9603.91
2016-01-08,12.7,9559.62,9572.32
2016-01-11,12.7,9408.96,9421.66
2016-01-12,12.7,9326.34,9339.04
2016-01-13,12.7,9173.25,9185.95
2016-01-14,12.7,9299.61,9312.31
2016-01-15,12.7,9107.64,9120.34
2016-01-18,12.7,8930.25,8942.95
2016-01-19,12.7,8954.55,8967.25
2016-01-20,12.7,8869.5,8882.2
2016-01-21,12.7,8893.8,8906.5
2016-01-22,12.7,8956.98,8969.68
2016-01-26,12.7,8857.35,8870.05
2016-01-27,12.7,9107.64,9120.34
2016-01-28,12.7,9088.2,9100.9
2016-01-29,12.7,9523.17,9535.87
2016-02-01,12.7,9549.9,9562.6
2016-02-02,12.7,9117.36,9130.06
2016-02-03,12.7,9331.2,9343.9
2016-02-04,12.7,9627.66,9640.36
2016-02-05,12.7,9562.05,9574.75
2016-02-10,12.7,9515.88,9528.58
2016-02-11,12.7,9282.6,9295.3
2016-02-12,12.7,9411.39,9424.09
2016-02-15,12.7,9489.15,9501.85
2016-02-16,12.7,9656.82,9669.52
2016-02-17,12.7,9792.9,9805.6
2016-02-18,12.7,9768.6,9781.3
2016-02-19,12.7,9780.75,9793.45
2016-02-22,12.7,10196.28,10208.98
2016-02-23,12.7,10038.33,10051.03
2016-02-24,12.7,9933.84,9946.54
2016-02-25,12.7,9865.8,9878.5
2016-02-26,12.7,9780.75,9793.45
2016-02-29,12.7,10072.35,10085.05
2016-03-01,12.7,10388.25,10400.95
2016-03-02,12.7,10570.5,10583.2
2016-03-03,12.7,11105.1,11117.8
2016-03-04,12.7,11566.8,11579.5
2016-03-07,12.7,11608.11,11620.81
2016-03-08,12.7,11591.1,11603.8
2016-03-09,12.7,11481.75,11494.45
2016-03-10,12.7,11809.8,11822.5
2016-03-11,12.7,11775.78,11788.48
2016-03-14,12.7,11452.59,11465.29
2016-03-15,12.7,11119.68,11132.38
2016-03-16,12.7,11250.9,11263.6
2016-03-17,12.7,12040.65,12053.35
2016-03-18,12.7,11955.6,11968.3
2016-03-21,12.7,12079.53,12092.23
2016-03-22,12.7,12045.51,12058.21
2016-03-23,12.7,11712.6,11725.3
2016-03-24,12.7,11756.34,11769.04
